gen,max,mean,std 
0,33.99273940404251,-2.9109935105645612,8.025315530714291
1,23.86106989593915,0.505593413282351,9.15170365155724
2,42.90261612002519,1.552218077015312,9.135848516134407
3,42.90261612002519,6.250475972293848,12.021633171546975
4,51.20784117939628,6.078941189632478,12.942901631969749
5,57.67113662872631,13.911609600209028,15.996561862241167
6,60.71946577580154,14.0906465501434,13.060130775682175
7,36.01815577179123,11.41865074525953,11.047813485153545
8,37.98772590142133,13.559098786627445,10.858575250004733
9,33.55723159455521,10.492724104350597,10.486919234544535
10,36.06055183486649,14.640010146843627,11.829428697102909
11,39.942659015691454,20.257545880176515,13.27225507975986
12,39.942659015691454,19.593995597961648,11.351093563951768
13,44.63360601943737,19.218330242006523,13.163461568708636
14,37.405179547953495,16.7875741759702,14.55474618197807
15,37.405179547953495,20.040680483104143,13.786386767692067
16,37.43453905107424,16.577368462607048,14.749368242630585
17,37.43416990258703,16.959000269424145,15.147350441468635
18,37.36318001171243,22.608064034724887,12.699228772160547
19,36.094865659977515,18.56225423955148,13.526199372626175
20,37.42099361380838,22.291124199897133,14.126573450356009
21,37.407990293503076,26.296468538804834,12.246753314891285
22,37.45964979395818,22.93134690029853,14.2613367131111
23,37.44092581886639,26.427024995561045,12.778249681892031
24,37.80741102073043,23.464346533848804,13.400634309197773
25,39.8161441460703,26.60451327920819,11.154506686320238
26,39.8161441460703,26.672181314356646,12.700151392231886
27,37.455115141626315,29.97361916119879,10.661071915446446
28,37.96819198668055,24.73661312865791,14.278386888209301
29,37.92526599384792,26.307658064824455,13.898984693140292
30,37.443778336994995,26.82136544601095,13.077801776081492
31,37.44147864813276,28.535880280028675,10.966134245407376
32,37.45737270890763,26.68782359671735,11.86140019676391
33,37.45737270890763,28.323386520485656,13.65699564759258
34,37.94019435843518,28.53051893824388,10.691899918114778
35,37.45649449724621,25.776296338753763,15.521406852435133
36,37.45686404365577,26.615284841011334,11.740330674598525
37,37.939144938816895,27.542988688647824,9.27905050428705
38,37.43161919284178,27.82930224891724,11.20609817273235
39,37.43453905107424,31.006229425071723,8.407571086627827
40,37.434793669161614,27.827355067204316,11.79184381103366
41,37.462676009648966,27.96579953654591,13.591940550947696
42,37.462676009648966,28.486338197000386,10.971806999095762
43,37.462676009648966,27.768864592470997,12.104742962428176
44,37.4608705717431,29.681677733867662,9.781381083095292
45,37.4608705717431,26.511883231709476,13.033875026670206
46,37.4608705717431,25.157206691548723,13.624355823839165
47,40.042893023524016,25.670667223083676,13.662513626902381
48,37.456748955245054,23.418801828546126,15.020936634013855
49,37.456748955245054,28.77661944736184,11.580336669472917
