gen,max,mean,std 
0,12.618707209236447,-4.279306806873786,6.230450864295934
1,26.176322048219845,-1.909308809387261,9.47378194701047
2,26.176322048219845,-0.8175957701731239,9.10888699781444
3,24.99938010686055,2.2231098417585557,9.424554793989076
4,39.78235532752148,4.837974886200171,11.654756579909755
5,39.62977858155799,8.110300110355473,12.100008290361547
6,37.21525509437974,7.3042572791778015,10.050379735764801
7,45.868492649991914,11.330545880673165,12.72339309907986
8,42.89915772624817,13.156691278249081,14.668294675884388
9,42.96815624762972,18.417570133608354,15.710587442996054
10,45.935636358857494,19.269486497005232,15.914113252099327
11,42.83061259036806,18.543585198316286,12.602119809694921
12,48.49949701721495,21.23895987311039,16.078469065458016
13,52.48507758167531,26.924237411678167,14.59223578200285
14,51.105162781356334,25.34695397647437,17.0496451170854
15,51.105162781356334,27.408911243900167,15.361858542531449
16,54.2365182962991,27.303009433202952,17.526980822522557
17,54.2365182962991,29.2407069512224,16.785367416743757
18,50.73736535212617,26.97927262423996,16.109581910413468
19,50.44553134008394,30.0258228107018,17.452780559766197
20,57.833791256576745,34.14824064072273,13.443804687191031
21,51.40612840223099,31.158553556385055,14.640405257300463
22,57.87252781311114,27.162597904021005,17.633742174536373
23,52.53516339122868,28.379106691713126,16.008661210635534
24,53.21732955933078,32.878423545435936,15.619841105223829
25,54.94141403645639,34.077889361983146,14.896923421512444
26,54.94141403645639,29.73074808530623,18.845283883833325
27,54.94141403645639,32.092265610576675,17.593312939988458
28,55.229271353534955,26.918762027917772,18.07843088368377
29,55.27711602225865,31.221403476224378,13.486718647833161
30,49.96140914572992,30.146496419153618,14.458893210077287
31,52.49330740830155,32.80545414771103,13.199393580209446
32,62.37507745145723,33.06596708256651,19.28268856204947
33,52.176120839731794,29.590891360025932,18.365130629142353
34,54.22825511826055,30.351767893530138,17.90413328914954
35,55.189537848963916,33.81062277192437,17.267105685309296
36,55.189537848963916,31.458063533780127,17.7613052049948
37,54.15177480722454,32.12723860184775,17.033634635073096
38,52.31639725349991,38.13034887656634,11.02818193107291
39,52.31639725349991,29.8137959096015,20.354065375807764
40,52.31639725349991,33.901698506559114,15.325561702529367
41,58.09554109036665,32.37336230365158,18.48957949228029
42,55.13102170788018,35.655649229892695,15.400802353876989
43,55.33114816957786,36.32711468132301,13.94136496064522
44,51.98123749932073,35.17100267977876,13.68302047876417
45,58.215547585178044,36.78498215035186,15.483668648668425
46,55.29801975038626,30.999028886459428,16.16142046688039
47,53.34490664919127,32.55395071317227,15.608844522593545
48,54.11425244636073,31.393935907489936,17.41771555405294
49,51.0991998608642,35.94690003635535,13.026243181449596
