gen,max,mean,std 
0,7.778187452406968,-2.4851450462120424,5.067749496959549
1,16.752600822922325,0.487723253733286,6.956168286609211
2,37.89613640843663,4.698432045072279,10.7145913663397
3,41.56484055058339,7.62143982691874,11.331172056758914
4,37.835384791474596,7.835950924301355,12.253099287211855
5,37.835384791474596,7.522599779796072,12.230183160779358
6,26.45003453106952,6.82868182000936,9.314255303662408
7,30.43515915617251,7.997446893309527,9.188951842673163
8,33.679964847105346,5.885579063763589,10.033540808000895
9,36.01409929803653,3.229955416543446,10.872721193867818
10,53.77948167718354,8.060327716514841,12.180639079721022
11,56.24928736973432,13.083948639473055,16.324161311304035
12,41.98447712291265,9.760538578519025,13.063556173615401
13,41.665237249751094,9.211488906024181,9.67395433955709
14,48.703375224298426,13.406576441574945,12.287452160200736
15,53.78225315842699,15.467907238123908,13.997240823863375
16,53.78225315842699,15.702256754793506,15.518066010659451
17,39.98020576926103,17.390756747635056,13.6485111855966
18,53.88522079220313,19.47269962570552,13.950388549662343
19,39.98020576926103,19.301194728271117,13.594337708591862
20,47.00756082193653,23.626887895204128,14.4009424014809
21,53.75867593927762,23.584999376538313,14.655119752914763
22,44.77089509067607,22.052958767774847,13.443536943129851
23,53.79481935319427,20.395887364918764,12.506781599150408
24,50.97442104325387,20.42223793227989,12.93842251699843
25,37.8977769740367,16.236967572685195,11.0617418342213
26,37.95731545961308,19.350910801344874,11.023293254513591
27,39.975888404489396,18.5353443319934,12.854038745382523
28,44.73351462206662,24.112975564091585,12.815196555202778
29,51.28251994871773,29.823600768704672,11.341327678466913
30,51.28251994871773,28.649179269931455,12.98910197915365
31,51.28251994871773,32.33876791063009,9.323293150317316
32,46.919934074655814,29.980660442591194,12.837049310555532
33,51.202619364251106,31.723159430445037,9.727881278141233
34,57.54855639758266,33.346402908811406,11.131601626983027
35,53.82274224278454,33.60804876024066,12.146402541318546
36,57.497485553946035,31.560428357431373,12.446112240215967
37,57.497485553946035,34.465781352636895,11.48115808484776
38,53.892699131904166,35.47286664589939,10.044227727395322
39,60.66167951268191,37.395205665875174,9.863643748594514
40,53.779491103658444,38.56295988661824,9.49067491938344
41,60.74604048793438,36.825417311729275,9.519642998502606
42,60.74604048793438,38.194385290913516,8.963365724888147
43,60.738260564434526,37.795575778338716,10.661369601461917
44,57.62758607312995,39.451425756077164,8.6890714636531
45,57.631401583638535,38.3860751523504,10.965595358448915
46,57.600415229847435,39.286822819505616,9.240561158969202
47,57.46433807412698,39.168631911108776,9.520618572358893
48,53.81841346964601,40.016114659050174,10.782651159142768
49,60.58846860335673,39.33009151742884,10.931963061149865
